date,account_name,transaction_details,transaction_id,reference_transaction_id,offset_account_id,offset_account_type,transaction_type,reference_number,entity_number,debit,credit,net_amount,contact_id,account_id,project_ids,currency_code,account_group,account_type
2024-10-01,1104-SRV1,"4203-Software Subscription
Vendor Name : Zoho Corporation",5076739000000470133,,5076739000000155001,expense,expense,,,,66.77,-66.77,5076739000000090051,5076739000000198007,,USD,asset,bank
2024-10-01,1104-SRV1,"P4810-Groceries
Vendor Name : QHRPeople.com",5076739000000525017,,5076739000000089495,expense,expense,,,,160.81,-160.81,5076739000000525001,5076739000000198007,,USD,asset,bank
2024-10-01,1104-SRV1,P4890-Entertainment,5076739000000525039,,5076739000000092693,expense,expense,,,,220,-220,-1,5076739000000198007,,USD,asset,bank
2024-10-01,1104-SRV1,"P4810-Groceries
Vendor Name : Walgreens",5076739000000525109,,5076739000000089495,expense,expense,,,,52.75,-52.75,5076739000000171799,5076739000000198007,,USD,asset,bank
2024-10-02,1104-SRV1,Square Clearing,5076739000000466129,,5076739000000364116,payment_clearing,transfer_fund,,,96.4,,96.4,-1,5076739000000198007,,USD,asset,bank
2024-10-02,1104-SRV1,"5102-Postage
Vendor Name : Letter Stream",5076739000000525141,,5076739000000000436,expense,expense,,,,8.96,-8.96,5076739000000272394,5076739000000198007,,USD,asset,bank
2024-10-02,1104-SRV1,"4903-Telephone Expense
Vendor Name : Mint Mobile",5076739000000525173,,5076739000000000421,expense,expense,,,,5.38,-5.38,5076739000000321191,5076739000000198007,,USD,asset,bank
2024-10-03,1104-SRV1,"5105P-Dues and Subscriptions
Vendor Name : Apple.com/Bill",5076739000000502341,,5076739000000089445,other_expense,expense,,,,21.39,-21.39,5076739000000091051,5076739000000198007,,USD,asset,bank
2024-10-03,1104-SRV1,"4201-Office Supplies
Vendor Name : Amazon",5076739000000502385,,5076739000000000442,expense,expense,,,,6.2,-6.2,5076739000000090007,5076739000000198007,,USD,asset,bank
2024-10-03,1104-SRV1,"4804-Deductible Meals
Vendor Name : DD *Doordash",5076739000000502637,,5076739000000000448,expense,expense,,,,42.72,-42.72,5076739000000090135,5076739000000198007,,USD,asset,bank
2024-10-03,1104-SRV1,"P4000-Expenses (Personal)
Vendor Name : cash app",5076739000000502707,,5076739000000169478,expense,expense,,,,25,-25,5076739000000205773,5076739000000198007,,USD,asset,bank
2024-10-03,1104-SRV1,"5102-Postage
Vendor Name : PostScan Mail",5076739000000502819,,5076739000000000436,expense,expense,,,,20,-20,5076739000000209319,5076739000000198007,,USD,asset,bank
2024-10-03,1104-SRV1,"4904-IT and Internet Expenses
Vendor Name : SquareSpace",5076739000000525205,,5076739000000000427,expense,expense,,,,20,-20,5076739000000216053,5076739000000198007,,USD,asset,bank
2024-10-04,1104-SRV1,"4201-Office Supplies
Vendor Name : Amazon",5076739000000502121,,5076739000000000442,expense,expense,,,,48.15,-48.15,5076739000000090007,5076739000000198007,,USD,asset,bank
2024-10-04,1104-SRV1,"4201-Office Supplies
Vendor Name : Amazon",5076739000000502165,,5076739000000000442,expense,expense,,,,213.99,-213.99,5076739000000090007,5076739000000198007,,USD,asset,bank
2024-10-04,1104-SRV1,"4804-Deductible Meals
Vendor Name : DD *Doordash",5076739000000502429,,5076739000000000448,expense,expense,,,,25.47,-25.47,5076739000000090135,5076739000000198007,,USD,asset,bank
2024-10-04,1104-SRV1,"4804-Deductible Meals
Vendor Name : DD *Doordash",5076739000000502451,,5076739000000000448,expense,expense,,,,21.94,-21.94,5076739000000090135,5076739000000198007,,USD,asset,bank
2024-10-04,1104-SRV1,"P4890-Entertainment
Vendor Name : Crown Smoke",5076739000000525227,,5076739000000092693,expense,expense,,,,42.8,-42.8,5076739000000272362,5076739000000198007,,USD,asset,bank
2024-10-04,1104-SRV1,"4800-Travel Expense
Vendor Name : Expedia",5076739000000525271,,5076739000000000418,expense,expense,,,,168.3,-168.3,5076739000000525259,5076739000000198007,,USD,asset,bank
